item_id,subsystem,item,authority,source_status,notes
case-frame,structure,case and internal frame,pending_measurement,concept_estimate,"Material, joinery, alignment strategy, and service access are unresolved."
keyboard,action,keyboard,pending_measurement,concept_estimate,"Key count, key travel, and spacing are not specified."
action-linkage,action,key-to-hammer action,pending_measurement,concept_estimate,"Escapement, return, checking, and regulation are unresolved."
action-mule,action,small key-action mule,pending_measurement,planned,"Fixture to test key feel hammer travel rebound damper timing and regulation access."
felt-hammers,action,felt hammers,pending_measurement,concept_estimate,"Hammer mass, felt hardness, strike shape, and wear behavior require tests."
hammer-coupons,action,hammer covering and contact coupons,pending_measurement,planned,"Comparison materials only; no mass hardness or strike-point values are specified."
steel-bars,sound-generator,graduated steel bars,pending_measurement,concept_estimate,"No bar lengths, profiles, support points, material grade, or tuning values are specified."
bar-coupons,sound-generator,single-bar test coupons,pending_measurement,planned,"Coupon class for sustain decay support and tuning-response tests; no geometry released."
bar-suspension,sound-generator,bar supports and suspension cord or pins,pending_measurement,concept_estimate,"Support method must preserve vibration and withstand repeated strikes."
resonators,acoustics,wooden box resonators,pending_measurement,concept_estimate,"Volume, opening, material, and coupling are pending measurement."
resonator-coupons,acoustics,interchangeable resonator test boxes,pending_measurement,planned,"Comparison class only; no volumes openings or tuning targets are specified."
dampers,action,dampers and damper lift,pending_measurement,concept_estimate,"Material, lift timing, and release-noise behavior are unresolved."
damper-coupons,action,damper material and lift coupons,pending_measurement,planned,"Material and timing test class only; no geometry or lift values released."
regulation-hardware,maintenance,adjustment screws felts and guides,pending_measurement,concept_estimate,"Needed for prototype regulation; exact hardware is not selected."
setup-log,validation,bar action resonator and damper setup log,concept_only,planned,"Future log for hammer, bar, suspension, resonator, damper, and action tests."
